BULL
Volume: 28261489344
Train Days: 751
Test Days: 527
Vol/Day: 37631810.04527297
Train AdjVol: [1.0, 1.7504049765229124, 1.4774597597616494, 0.49339482033726245, 0.2103626350051475]
Test  AdjVol: [0.8210957327071993, 0.5276570567421757]
BULL ::: [(6271968, 3, 3, 54.49075227636274), (6271968, 5, 2, 54.3582400229687), (6271968, 9, 4, 54.338545200135684), (6271968, 4, 3, 53.99550154897462), (6271968, 5, 5, 53.86433850702142)]
BULL ::: [(10975944, 11, 6, 55.29764581557261), (10975944, 7, 4, 54.90615499788433), (10975944, 11, 5, 54.87618679050568), (10975944, 11, 3, 54.8654863261094), (10975944, 3, 8, 54.74459876543211)]
BULL ::: [(15679920, 7, 3, 55.80548225755187), (15679920, 3, 4, 55.76050053183151), (15679920, 7, 7, 55.39531942904655), (10975944, 11, 6, 55.29764581557261), (15679920, 6, 4, 55.249375938597126)]
BULL ::: [(15679920, 7, 3, 55.80548225755187), (20383896, 3, 8, 55.76532334532334), (15679920, 3, 4, 55.76050053183151), (20383896, 3, 6, 55.70224308815858), (20383896, 6, 4, 55.595155887388145)]
BULL ::: [(25087872, 9, 7, 55.946150670794644), (25087872, 9, 6, 55.867412836102176), (15679920, 7, 3, 55.80548225755187), (20383896, 3, 8, 55.76532334532334), (15679920, 3, 4, 55.76050053183151)]
BULL ::: [(29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904), (25087872, 9, 6, 55.867412836102176), (15679920, 7, 3, 55.80548225755187)]
BULL ::: [(29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904), (25087872, 9, 6, 55.867412836102176), (15679920, 7, 3, 55.80548225755187)]
BULL ::: [(39199800, 12, 3, 56.60656671691072), (29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904), (25087872, 9, 6, 55.867412836102176)]
BULL ::: [(39199800, 12, 3, 56.60656671691072), (43903776, 7, 1, 56.08250158033195), (29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904)]
BULL ::: [(39199800, 12, 3, 56.60656671691072), (43903776, 7, 1, 56.08250158033195), (29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904)]
BULL ::: [(39199800, 12, 3, 56.60656671691072), (43903776, 7, 1, 56.08250158033195), (29791848, 6, 7, 55.999230847263654), (25087872, 9, 7, 55.946150670794644), (29791848, 3, 2, 55.930459581987904)]
