BEAR
Volume: 15920464291
Days: 719
Vol/Day: 22142509.445062585
Train AdjVol: [1.0]
Test  AdjVol: [0.9971148189912548]
BEAR ::: [(3690418, 4, 1, 53.29259859763893), (3690418, 12, 2, 53.09091044731581), (3690418, 12, 4, 53.00512106522366), (3690418, 4, 6, 52.87480690397429), (3690418, 12, 8, 52.65927677832919)]
BEAR ::: [(6458231, 9, 6, 55.05369265087116), (6458231, 4, 6, 55.03159645475435), (6458231, 9, 4, 54.87576644370123), (6458231, 7, 4, 54.653238501001766), (6458231, 9, 7, 54.457990260290245)]
BEAR ::: [(9226044, 7, 1, 55.12130932002849), (6458231, 9, 6, 55.05369265087116), (6458231, 4, 6, 55.03159645475435), (9226044, 4, 7, 55.0045049710025), (9226044, 5, 6, 54.972976370035184)]
BEAR ::: [(9226044, 7, 1, 55.12130932002849), (6458231, 9, 6, 55.05369265087116), (11993857, 10, 3, 55.035628844839366), (6458231, 4, 6, 55.03159645475435), (9226044, 4, 7, 55.0045049710025)]
BEAR ::: [(9226044, 7, 1, 55.12130932002849), (6458231, 9, 6, 55.05369265087116), (11993857, 10, 3, 55.035628844839366), (6458231, 4, 6, 55.03159645475435), (9226044, 4, 7, 55.0045049710025)]
BEAR ::: [(9226044, 7, 1, 55.12130932002849), (6458231, 9, 6, 55.05369265087116), (11993857, 10, 3, 55.035628844839366), (6458231, 4, 6, 55.03159645475435), (9226044, 4, 7, 55.0045049710025)]
BEAR ::: [(20297296, 10, 4, 56.38954086977343), (20297296, 4, 8, 55.97506066984228), (20297296, 7, 5, 55.75604091642292), (20297296, 10, 2, 55.26939385283034), (20297296, 10, 1, 55.254955073995774)]
BEAR ::: [(20297296, 10, 4, 56.38954086977343), (20297296, 4, 8, 55.97506066984228), (20297296, 7, 5, 55.75604091642292), (20297296, 10, 2, 55.26939385283034), (20297296, 10, 1, 55.254955073995774)]
BEAR ::: [(20297296, 10, 4, 56.38954086977343), (20297296, 4, 8, 55.97506066984228), (20297296, 7, 5, 55.75604091642292), (20297296, 10, 2, 55.26939385283034), (20297296, 10, 1, 55.254955073995774)]
BEAR ::: [(20297296, 10, 4, 56.38954086977343), (20297296, 4, 8, 55.97506066984228), (20297296, 7, 5, 55.75604091642292), (20297296, 10, 2, 55.26939385283034), (20297296, 10, 1, 55.254955073995774)]
BEAR ::: [(20297296, 10, 4, 56.38954086977343), (20297296, 4, 8, 55.97506066984228), (20297296, 7, 5, 55.75604091642292), (20297296, 10, 2, 55.26939385283034), (20297296, 10, 1, 55.254955073995774)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
BEAR ::: [(34136361, 12, 4, 57.34469782818839), (20297296, 10, 4, 56.38954086977343), (34136361, 12, 3, 56.38787987478805), (34136361, 4, 6, 56.25350289500593), (34136361, 4, 1, 56.206665652218014)]
